folio,folio_display,div_id,categories,heading_tc,heading_tcn,heading_tl,animal_tc,animal_tcn,animal_tl,body_part_tc,body_part_tcn,body_part_tl,currency_tc,currency_tcn,currency_tl,definition_tc,definition_tcn,definition_tl,environment_tc,environment_tcn,environment_tl,material_tc,material_tcn,material_tl,medical_tc,medical_tcn,medical_tl,measurement_tc,measurement_tcn,measurement_tl,music_tc,music_tcn,music_tl,plant_tc,plant_tcn,plant_tl,place_tc,place_tcn,place_tl,personal_name_tc,personal_name_tcn,personal_name_tl,profession_tc,profession_tcn,profession_tl,sensory_tc,sensory_tcn,sensory_tl,tool_tc,tool_tcn,tool_tl,time_tc,time_tcn,time_tl,weapon_tc,weapon_tcn,weapon_tl
008v,8v,008v_5,stones,Polissement du ruby balay,Polissement du ruby balay,Polishing of the balas ruby,,,,,,,,,,,,,,,,diamant; esmeraulde; ☼; or fin; ruby balay; eau gommee; cuivre fin; argent; ♀; ☿; pouldre de marchasite; or et argent moulu; plomb; ☾; eau fort; saphir; cuivre; pierres; huile; mabre; jacinthe orientale; tripoly; ametiste; limaille de letton; grais; rubi; estaing; estain; fin estaing; eau; mercure,"diamant; esmeraulde; ☼; or fin; ruby balay; cuivre fin; eau gommée; ☿; ♀; pouldre de marchasite; plomb; ☾; eau fort; saphir; cuivre; pierres; huile; mabre; jacinthe orientale; tripoly; ametiste; limaille de letton; grais; argent moulu; rubi; estaing; or; argent,; estain; fin estaing; eau; mercure",fine tin; ☼; water; latten filings; stones; gum water; copper; ♀; ☿; tin; sapphire; lead; fine gold; ☾; oriental jacinth; balas ruby; marble; grais; argent moulu; emerald; or; tripoli; mercury; fine copper; marcasite powder; amethyst; aquafortis; silver; ruby; diamond; oil,,,,moictie; huictiesme partye,huictiesme partye; moictié,eighth part; half,,,,,,,,,,,,,pintiers,pintiers,pewterers,sourd; sonnant,sourd; sonnant,sonorous; deaf,roue de cuivre; lame de cuivre; tripoly; roue destain; mabre; grais; pouldre de marchasite; roues une destain de plomb &amp; de cuivre fin,"roue de cuivre; lame de cuivre; tripoly; roues, une d’estain, de plomb, &amp; de cuivre fin; grais; pouldre de marchasite; roue d’estain; mabre","tripoli; grais; marble; marcasite powder; copper blade; tin wheel; wheels for doing this, one of tin, one of lead, &amp; one of fine copper; copper wheel",,,,,,
009r,9r,009r_1,cultivation,Laboureur,Laboureur,Plowman,,,,,,,,,,,,,a la frescheur &amp; aux rays de la lune; jugement,à la frescheur &amp; aux rays de la lune; jugement,in the cool &amp; by moonlight; court,,,grain,,,,,,,,,,febves; baillard; millet; pomole; mil; bled,febves; baillard; millet; pomole; mil; bled,baillard; millet; beans; pomole; grain,france; gascoigne,france; gascoigne,gascony; france,,,,painctre; aprentifs; mestiviers; marchant; laboureur,painctre; aprentifs; mestiviers; marchant; laboureur,merchant; harvesters; apprentices; painter; plowman,,,,plume; pinceau,plume; pinceau,paintbrush; feather,a la prochaine semence; de nuict a la frescheur &amp; aux rays de la lune; soleil ne soit vers le midy; ans,"à la prochaine semence; ans; soleil ne soit vers le midy; de nuict, à la frescheur &amp; aux rays de la lune",at the next sowing; sun is approaching midday; at night in the cool &amp; by moonlight; years,,,
009r,9r,009r_2,cultivation,Laboureur,Laboureur,Plowman,,,,,,,,,,,,,a la frescheur &amp; aux rays de la lune; jugement,à la frescheur &amp; aux rays de la lune; jugement,in the cool &amp; by moonlight; court,,,grain,,,,,,,,,,febves; baillard; millet; pomole; mil; bled,febves; baillard; millet; pomole; mil; bled,baillard; millet; beans; pomole; grain,france; gascoigne,france; gascoigne,gascony; france,,,,painctre; aprentifs; mestiviers; marchant; laboureur,painctre; aprentifs; mestiviers; marchant; laboureur,merchant; harvesters; apprentices; painter; plowman,,,,plume; pinceau,plume; pinceau,paintbrush; feather,a la prochaine semence; de nuict a la frescheur &amp; aux rays de la lune; soleil ne soit vers le midy; ans,"à la prochaine semence; ans; soleil ne soit vers le midy; de nuict, à la frescheur &amp; aux rays de la lune",at the next sowing; sun is approaching midday; at night in the cool &amp; by moonlight; years,,,
009r,9r,009r_3,cultivation,Laboureur,Laboureur,Plowman,,,,,,,,,,,,,a la frescheur &amp; aux rays de la lune; jugement,à la frescheur &amp; aux rays de la lune; jugement,in the cool &amp; by moonlight; court,,,grain,,,,,,,,,,febves; baillard; millet; pomole; mil; bled,febves; baillard; millet; pomole; mil; bled,baillard; millet; beans; pomole; grain,france; gascoigne,france; gascoigne,gascony; france,,,,painctre; aprentifs; mestiviers; marchant; laboureur,painctre; aprentifs; mestiviers; marchant; laboureur,merchant; harvesters; apprentices; painter; plowman,,,,plume; pinceau,plume; pinceau,paintbrush; feather,a la prochaine semence; de nuict a la frescheur &amp; aux rays de la lune; soleil ne soit vers le midy; ans,"à la prochaine semence; ans; soleil ne soit vers le midy; de nuict, à la frescheur &amp; aux rays de la lune",at the next sowing; sun is approaching midday; at night in the cool &amp; by moonlight; years,,,
009v,9v,009v_1,painting,Painctre,Painctre,Painters,,,,,,,t.; livres; lb t.,lb t.; livres,lb t.; livres,,,,,,,cendres; huile; toille babtiste; esmail rouge; orpiment; verre; vert de terre; sel commun; grenats,toille babtiste; esmail rouge; orpiment; verre; vert de terre; grenats; sel commun; huile,red enamel; orpiment; glass; common salt; oil; vert de terre; garnets; cambric,,,,livres; cane; t.; canne; livres canne; lb t.,livres; cane; canne; livres canne; lb t.,livres; livres per canne; cane; canne; lb t.,,,,,,,,,,francois du cros; sainct andre; du cros,françois du cros; du cros; sainct andré,françois du cros; st andré; du cros,marchans; marchant; painctre,marchans; marchant; painctre,merchant; merchants; painters,,,,bouteille de verre; mattelas,bouteille de verre; mattelas,matrass; glass bottle,feste de la sainct andre; jour; iie de septembre 1581,jour; feste de la sainct andré; iie de septembre 1581,2nd september 1581; st andré’s day; day,,,
009v,9v,009v_2,painting,Painctre,Painctre,Painters,,,,,,,t.; livres; lb t.,lb t.; livres,lb t.; livres,,,,,,,cendres; huile; toille babtiste; esmail rouge; orpiment; verre; vert de terre; sel commun; grenats,toille babtiste; esmail rouge; orpiment; verre; vert de terre; grenats; sel commun; huile,red enamel; orpiment; glass; common salt; oil; vert de terre; garnets; cambric,,,,livres; cane; t.; canne; livres canne; lb t.,livres; cane; canne; livres canne; lb t.,livres; livres per canne; cane; canne; lb t.,,,,,,,,,,francois du cros; sainct andre; du cros,françois du cros; du cros; sainct andré,françois du cros; st andré; du cros,marchans; marchant; painctre,marchans; marchant; painctre,merchant; merchants; painters,,,,bouteille de verre; mattelas,bouteille de verre; mattelas,matrass; glass bottle,feste de la sainct andre; jour; iie de septembre 1581,jour; feste de la sainct andré; iie de septembre 1581,2nd september 1581; st andré’s day; day,,,
009v,9v,009v_3,painting,Painctre,Painctre,Painters,,,,,,,t.; livres; lb t.,lb t.; livres,lb t.; livres,,,,,,,cendres; huile; toille babtiste; esmail rouge; orpiment; verre; vert de terre; sel commun; grenats,toille babtiste; esmail rouge; orpiment; verre; vert de terre; grenats; sel commun; huile,red enamel; orpiment; glass; common salt; oil; vert de terre; garnets; cambric,,,,livres; cane; t.; canne; livres canne; lb t.,livres; cane; canne; livres canne; lb t.,livres; livres per canne; cane; canne; lb t.,,,,,,,,,,francois du cros; sainct andre; du cros,françois du cros; du cros; sainct andré,françois du cros; st andré; du cros,marchans; marchant; painctre,marchans; marchant; painctre,merchant; merchants; painters,,,,bouteille de verre; mattelas,bouteille de verre; mattelas,matrass; glass bottle,feste de la sainct andre; jour; iie de septembre 1581,jour; feste de la sainct andré; iie de septembre 1581,2nd september 1581; st andré’s day; day,,,
010r,10r,010r_1,"stones, decorative",Jaspe contrefaict,Jaspe contrefaict,Counterfeit jasper,,,,,,,,,,,,,,,,jaspe grumeleux; tourmentine; cornalines; vernis daspic; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; sel commun pulverise subtilement; fer; alum; plomb; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; corne; huiler; gomme armoniac; croye; azur desmail; foeille destaing; corne de lanternes; destrempe; colle forte; parchemin; pouldre; scudegrun; huile daspic; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; limaille de talc ou despingle; petite pouldre,vernis d’aspic; jaspe grumeleux; limaille de talc ou d’espingle; tourmentine; cornalines; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; fer; alum; plomb; foeille d’estaing; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; azur d’esmail; corne; huiler; gomme armoniac; croye; corne de lanternes; destrempe; colle forte; sel commun pulverisé subtilement; parchemin; huile d’aspic; pouldre; scudegrun; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; petite pouldre,water; counterfeit jasper; cornalines; stones; spike lavender oil; salt; gold &amp; silver leaf; turpentine; gum ammoniac; strong glue; filth; stil de grain yellow; finely pulverized common salt; clear turpentine; cement; lead; horn; alum; parchment; jasper; chalk; ceruse; earth; iron; vinegar; azur d’esmail; glass; marble; mottled jasper; tin leaf; spike lavender varnish; common azur; juice of weld; lake; horn used for lanterns; distemper; silver; roses; wool with thick hairs; oil; filings of talc or of pins; powder,,,,℥; lb,℥; lb,℥; lb,,,,roses; aspic,roses; aspic,spike lavender; roses,lyon,lyon,lyon,,,,painctres,painctres,joiner's; painters,,,,limer; rabot; fer; tamis fin; mabre,limer; rabot; fer; tamis fin; mabre,fine sieve; marble; file; joiner'splane; iron,,,,,,
010r,10r,010r_2,"stones, decorative",Jaspe contrefaict,Jaspe contrefaict,Counterfeit jasper,,,,,,,,,,,,,,,,jaspe grumeleux; tourmentine; cornalines; vernis daspic; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; sel commun pulverise subtilement; fer; alum; plomb; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; corne; huiler; gomme armoniac; croye; azur desmail; foeille destaing; corne de lanternes; destrempe; colle forte; parchemin; pouldre; scudegrun; huile daspic; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; limaille de talc ou despingle; petite pouldre,vernis d’aspic; jaspe grumeleux; limaille de talc ou d’espingle; tourmentine; cornalines; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; fer; alum; plomb; foeille d’estaing; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; azur d’esmail; corne; huiler; gomme armoniac; croye; corne de lanternes; destrempe; colle forte; sel commun pulverisé subtilement; parchemin; huile d’aspic; pouldre; scudegrun; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; petite pouldre,water; counterfeit jasper; cornalines; stones; spike lavender oil; salt; gold &amp; silver leaf; turpentine; gum ammoniac; strong glue; filth; stil de grain yellow; finely pulverized common salt; clear turpentine; cement; lead; horn; alum; parchment; jasper; chalk; ceruse; earth; iron; vinegar; azur d’esmail; glass; marble; mottled jasper; tin leaf; spike lavender varnish; common azur; juice of weld; lake; horn used for lanterns; distemper; silver; roses; wool with thick hairs; oil; filings of talc or of pins; powder,,,,℥; lb,℥; lb,℥; lb,,,,roses; aspic,roses; aspic,spike lavender; roses,lyon,lyon,lyon,,,,painctres,painctres,joiner's; painters,,,,limer; rabot; fer; tamis fin; mabre,limer; rabot; fer; tamis fin; mabre,fine sieve; marble; file; joiner'splane; iron,,,,,,
010r,10r,010r_3,"stones, decorative",Jaspe contrefaict,Jaspe contrefaict,Counterfeit jasper,,,,,,,,,,,,,,,,jaspe grumeleux; tourmentine; cornalines; vernis daspic; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; sel commun pulverise subtilement; fer; alum; plomb; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; corne; huiler; gomme armoniac; croye; azur desmail; foeille destaing; corne de lanternes; destrempe; colle forte; parchemin; pouldre; scudegrun; huile daspic; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; limaille de talc ou despingle; petite pouldre,vernis d’aspic; jaspe grumeleux; limaille de talc ou d’espingle; tourmentine; cornalines; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; fer; alum; plomb; foeille d’estaing; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; azur d’esmail; corne; huiler; gomme armoniac; croye; corne de lanternes; destrempe; colle forte; sel commun pulverisé subtilement; parchemin; huile d’aspic; pouldre; scudegrun; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; petite pouldre,water; counterfeit jasper; cornalines; stones; spike lavender oil; salt; gold &amp; silver leaf; turpentine; gum ammoniac; strong glue; filth; stil de grain yellow; finely pulverized common salt; clear turpentine; cement; lead; horn; alum; parchment; jasper; chalk; ceruse; earth; iron; vinegar; azur d’esmail; glass; marble; mottled jasper; tin leaf; spike lavender varnish; common azur; juice of weld; lake; horn used for lanterns; distemper; silver; roses; wool with thick hairs; oil; filings of talc or of pins; powder,,,,℥; lb,℥; lb,℥; lb,,,,roses; aspic,roses; aspic,spike lavender; roses,lyon,lyon,lyon,,,,painctres,painctres,joiner's; painters,,,,limer; rabot; fer; tamis fin; mabre,limer; rabot; fer; tamis fin; mabre,fine sieve; marble; file; joiner'splane; iron,,,,,,
010r,10r,010r_4,"stones, decorative",Jaspe contrefaict,Jaspe contrefaict,Counterfeit jasper,,,,,,,,,,,,,,,,jaspe grumeleux; tourmentine; cornalines; vernis daspic; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; sel commun pulverise subtilement; fer; alum; plomb; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; corne; huiler; gomme armoniac; croye; azur desmail; foeille destaing; corne de lanternes; destrempe; colle forte; parchemin; pouldre; scudegrun; huile daspic; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; limaille de talc ou despingle; petite pouldre,vernis d’aspic; jaspe grumeleux; limaille de talc ou d’espingle; tourmentine; cornalines; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; fer; alum; plomb; foeille d’estaing; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; azur d’esmail; corne; huiler; gomme armoniac; croye; corne de lanternes; destrempe; colle forte; sel commun pulverisé subtilement; parchemin; huile d’aspic; pouldre; scudegrun; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; petite pouldre,water; counterfeit jasper; cornalines; stones; spike lavender oil; salt; gold &amp; silver leaf; turpentine; gum ammoniac; strong glue; filth; stil de grain yellow; finely pulverized common salt; clear turpentine; cement; lead; horn; alum; parchment; jasper; chalk; ceruse; earth; iron; vinegar; azur d’esmail; glass; marble; mottled jasper; tin leaf; spike lavender varnish; common azur; juice of weld; lake; horn used for lanterns; distemper; silver; roses; wool with thick hairs; oil; filings of talc or of pins; powder,,,,℥; lb,℥; lb,℥; lb,,,,roses; aspic,roses; aspic,spike lavender; roses,lyon,lyon,lyon,,,,painctres,painctres,joiner's; painters,,,,limer; rabot; fer; tamis fin; mabre,limer; rabot; fer; tamis fin; mabre,fine sieve; marble; file; joiner'splane; iron,,,,,,
010r,10r,010r_5,"stones, decorative",Jaspe contrefaict,Jaspe contrefaict,Counterfeit jasper,,,,,,,,,,,,,,,,jaspe grumeleux; tourmentine; cornalines; vernis daspic; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; sel commun pulverise subtilement; fer; alum; plomb; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; corne; huiler; gomme armoniac; croye; azur desmail; foeille destaing; corne de lanternes; destrempe; colle forte; parchemin; pouldre; scudegrun; huile daspic; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; limaille de talc ou despingle; petite pouldre,vernis d’aspic; jaspe grumeleux; limaille de talc ou d’espingle; tourmentine; cornalines; jaspe contrefaict; or &amp; argent en foeille; terre; argent; jaspe; laque; fer; alum; plomb; foeille d’estaing; pierres; laines a gros poil; ceruse; huile; azur commun; mabre; crasse; azur d’esmail; corne; huiler; gomme armoniac; croye; corne de lanternes; destrempe; colle forte; sel commun pulverisé subtilement; parchemin; huile d’aspic; pouldre; scudegrun; tourmentine claire; vinaigre; verre; ciment; pierre; roses; eau; suc de gaulde; sel; petite pouldre,water; counterfeit jasper; cornalines; stones; spike lavender oil; salt; gold &amp; silver leaf; turpentine; gum ammoniac; strong glue; filth; stil de grain yellow; finely pulverized common salt; clear turpentine; cement; lead; horn; alum; parchment; jasper; chalk; ceruse; earth; iron; vinegar; azur d’esmail; glass; marble; mottled jasper; tin leaf; spike lavender varnish; common azur; juice of weld; lake; horn used for lanterns; distemper; silver; roses; wool with thick hairs; oil; filings of talc or of pins; powder,,,,℥; lb,℥; lb,℥; lb,,,,roses; aspic,roses; aspic,spike lavender; roses,lyon,lyon,lyon,,,,painctres,painctres,joiner's; painters,,,,limer; rabot; fer; tamis fin; mabre,limer; rabot; fer; tamis fin; mabre,fine sieve; marble; file; joiner'splane; iron,,,,,,
010v,10v,010v_1,painting,Pour paindre a huile sur taffetas sans que lhuile coure,Pour paindre à huile sur taffetas sans que l’huile coure,For painting in oil on taffeta without the oil running,cheval,cheval,horse,,,,,,,,,,,,,taffetas; tourmentine; colle damydon; oeufs partis les par moictie &amp; oste le jaulne &amp; entre les deulx moicties du blanc; miel; batture; fer; eau dalum; huile; ceruse; colle; eau claire; papier; fiente de cheval seche; or; parchemin; eau; or de foeuille; or de foeille,"taffetas; tourmentine; miel; eau d’alum; batture; fer; huile; ceruse; eau claire; papier; fiente de cheval seche; colle d’amydon; oeufs, partis les par moictie &amp; oste le jaulne &amp; entre les deulx moictiés du blanc; colle forte; or; parchemin; eau; or de foeuille; or de foeille","starch glue; alum water; ceruse; paper; strong glue; turpentine; water; eggs, divide them in half &amp; take the yolk out, &amp; between the two halves of the white; batture; dry horse dung; clear water; gold; iron; parchment; oil; taffeta; gold leaf; honey",,,,heures,heures,hours,,,,,,,,,,,,,,,,,,,filet,filet,thread,,,,,,
010v,10v,010v_2,painting,Pour paindre a huile sur taffetas sans que lhuile coure,Pour paindre à huile sur taffetas sans que l’huile coure,For painting in oil on taffeta without the oil running,cheval,cheval,horse,,,,,,,,,,,,,taffetas; tourmentine; colle damydon; oeufs partis les par moictie &amp; oste le jaulne &amp; entre les deulx moicties du blanc; miel; batture; fer; eau dalum; huile; ceruse; colle; eau claire; papier; fiente de cheval seche; or; parchemin; eau; or de foeuille; or de foeille,"taffetas; tourmentine; miel; eau d’alum; batture; fer; huile; ceruse; eau claire; papier; fiente de cheval seche; colle d’amydon; oeufs, partis les par moictie &amp; oste le jaulne &amp; entre les deulx moictiés du blanc; colle forte; or; parchemin; eau; or de foeuille; or de foeille","starch glue; alum water; ceruse; paper; strong glue; turpentine; water; eggs, divide them in half &amp; take the yolk out, &amp; between the two halves of the white; batture; dry horse dung; clear water; gold; iron; parchment; oil; taffeta; gold leaf; honey",,,,heures,heures,hours,,,,,,,,,,,,,,,,,,,filet,filet,thread,,,,,,
010v,10v,010v_3,painting,Pour paindre a huile sur taffetas sans que lhuile coure,Pour paindre à huile sur taffetas sans que l’huile coure,For painting in oil on taffeta without the oil running,cheval,cheval,horse,,,,,,,,,,,,,taffetas; tourmentine; colle damydon; oeufs partis les par moictie &amp; oste le jaulne &amp; entre les deulx moicties du blanc; miel; batture; fer; eau dalum; huile; ceruse; colle; eau claire; papier; fiente de cheval seche; or; parchemin; eau; or de foeuille; or de foeille,"taffetas; tourmentine; miel; eau d’alum; batture; fer; huile; ceruse; eau claire; papier; fiente de cheval seche; colle d’amydon; oeufs, partis les par moictie &amp; oste le jaulne &amp; entre les deulx moictiés du blanc; colle forte; or; parchemin; eau; or de foeuille; or de foeille","starch glue; alum water; ceruse; paper; strong glue; turpentine; water; eggs, divide them in half &amp; take the yolk out, &amp; between the two halves of the white; batture; dry horse dung; clear water; gold; iron; parchment; oil; taffeta; gold leaf; honey",,,,heures,heures,hours,,,,,,,,,,,,,,,,,,,filet,filet,thread,,,,,,
010v,10v,010v_4,painting,Pour paindre a huile sur taffetas sans que lhuile coure,Pour paindre à huile sur taffetas sans que l’huile coure,For painting in oil on taffeta without the oil running,cheval,cheval,horse,,,,,,,,,,,,,taffetas; tourmentine; colle damydon; oeufs partis les par moictie &amp; oste le jaulne &amp; entre les deulx moicties du blanc; miel; batture; fer; eau dalum; huile; ceruse; colle; eau claire; papier; fiente de cheval seche; or; parchemin; eau; or de foeuille; or de foeille,"taffetas; tourmentine; miel; eau d’alum; batture; fer; huile; ceruse; eau claire; papier; fiente de cheval seche; colle d’amydon; oeufs, partis les par moictie &amp; oste le jaulne &amp; entre les deulx moictiés du blanc; colle forte; or; parchemin; eau; or de foeuille; or de foeille","starch glue; alum water; ceruse; paper; strong glue; turpentine; water; eggs, divide them in half &amp; take the yolk out, &amp; between the two halves of the white; batture; dry horse dung; clear water; gold; iron; parchment; oil; taffeta; gold leaf; honey",,,,heures,heures,hours,,,,,,,,,,,,,,,,,,,filet,filet,thread,,,,,,
011r,11r,011r_1,painting,Paindre a huile desmail dazur,Paindre à huile d’esmail d’azur,Painting esmail d’azur in oil,,,,ongle,ongle,fingernail,,,,,,,veines de la montaigne,veines de la montaigne,veins of the mountain,huile; eau coloree; cendres dazur; jaulne doeuf; eaulx; esmail; eau claire; azurs; azur desmail; eau; asur; eau de roche; esmail dazur; mabre; vert dazur; cuivre; azur; ceruse,huile; esmail d’azur; cendres d’azur; azur d’esmail; jaulne d’oeuf; eau colorée; eaulx; esmail; eau claire; azurs; vert d’azur; eau; eau de roche; asur; mabre; cuivre; azur; ceruse,esmail d’azur; enamel; azures; azur d’esmail; copper; azure; water; colored water; marble; rock water; clear water; egg yolk; vert d’azur; oil; waters; azure ashes; ceruse,,,,,,,,,,,,,allemaigne,allemaigne,germany,,,,communs painctres,communs painctres,common painters,,,,esponge; painceau; ongle; vaisseau; pallette a huile; alambic; alaine; truelle; broisse; tamis; mabre,esponge; painceau; ongle; vaisseau; alambic; alaine; pallette à huile; truelle; broisse; tamis; mabre,sieves; sponge; awl; alembic; trowel; paintbrush; marble; brush; fingernail; vessel; oil palette,,,,,,
011v,11v,011v_1,metal process,Couleur dacier de damas sur costeaulx,Couleur dacier de damas sur costeaulx,Color of Damascus steel on knives,mouton,mouton,mutton,yeulx,yeulx,nail; eyes,,,,,,,,,at night,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,damascus steel; water; or mat; stones; copper; steel; sapphire; lead; raw mutton flesh; ashes; earth; glass; sand; stone; common aquafortis; pumice stone powder; gold; silver; diamond; varnish; leather; nail,pour oster la rougeur des yeulx ou la meurtrisseure,pour oster la rougeur des yeulx ou la meurtrisseure,for getting rid of the redness of eyes or bruising,,,,,,,,,,,,,,,,espasiers,espasiers,furbishers,,,,bandeau; poinctes de diamants; roue de plomb; poinctes; sable; pouldre de pierre ponce; roue de cuivre a polir; roue; lopin de cuir; cendre; pierre de touche; costeaulx,bandeau; poinctes de diamants; roue de plomb; poinctes; roue de cuivre à polir; sable; pouldre de pierre ponce; roue; lopin de cuir; cendre; pierre de touche; costeaulx,piece of leather; polishing wheel of copper; diamond points; wheel; head band; points; sand; lead wheel; pumice stone powder; touchstone; ashes; knives,long temps; nuict,long temps; nuict,long time,,,
011v,11v,011v_2,metal process,Couleur dacier de damas sur costeaulx,Couleur dacier de damas sur costeaulx,Color of Damascus steel on knives,mouton,mouton,mutton,yeulx,yeulx,nail; eyes,,,,,,,,,at night,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,damascus steel; water; or mat; stones; copper; steel; sapphire; lead; raw mutton flesh; ashes; earth; glass; sand; stone; common aquafortis; pumice stone powder; gold; silver; diamond; varnish; leather; nail,pour oster la rougeur des yeulx ou la meurtrisseure,pour oster la rougeur des yeulx ou la meurtrisseure,for getting rid of the redness of eyes or bruising,,,,,,,,,,,,,,,,espasiers,espasiers,furbishers,,,,bandeau; poinctes de diamants; roue de plomb; poinctes; sable; pouldre de pierre ponce; roue de cuivre a polir; roue; lopin de cuir; cendre; pierre de touche; costeaulx,bandeau; poinctes de diamants; roue de plomb; poinctes; roue de cuivre à polir; sable; pouldre de pierre ponce; roue; lopin de cuir; cendre; pierre de touche; costeaulx,piece of leather; polishing wheel of copper; diamond points; wheel; head band; points; sand; lead wheel; pumice stone powder; touchstone; ashes; knives,long temps; nuict,long temps; nuict,long time,,,
011v,11v,011v_3,metal process,Couleur dacier de damas sur costeaulx,Couleur dacier de damas sur costeaulx,Color of Damascus steel on knives,mouton,mouton,mutton,yeulx,yeulx,nail; eyes,,,,,,,,,at night,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,diamant; or mat; eau fort commune; diamants; vernis; terre; argent; cuir; sable; plomb; saphir; cuivre; pierres; ongle; acier de damas; pouldre de pierre ponce; acier; or; cher de mouton cru; pierre; verre; eau; cendre,damascus steel; water; or mat; stones; copper; steel; sapphire; lead; raw mutton flesh; ashes; earth; glass; sand; stone; common aquafortis; pumice stone powder; gold; silver; diamond; varnish; leather; nail,pour oster la rougeur des yeulx ou la meurtrisseure,pour oster la rougeur des yeulx ou la meurtrisseure,for getting rid of the redness of eyes or bruising,,,,,,,,,,,,,,,,espasiers,espasiers,furbishers,,,,bandeau; poinctes de diamants; roue de plomb; poinctes; sable; pouldre de pierre ponce; roue de cuivre a polir; roue; lopin de cuir; cendre; pierre de touche; costeaulx,bandeau; poinctes de diamants; roue de plomb; poinctes; roue de cuivre à polir; sable; pouldre de pierre ponce; roue; lopin de cuir; cendre; pierre de touche; costeaulx,piece of leather; polishing wheel of copper; diamond points; wheel; head band; points; sand; lead wheel; pumice stone powder; touchstone; ashes; knives,long temps; nuict,long temps; nuict,long time,,,
